Parameter,Unit,Category,Weight,"Candidate A","Candidate B","Candidate C",Specialist-1,Specialist-2,Specialist-3,Specialist-4,Notes
Fallback Behavior,1-10,Integration,0.08,8,6,9,8.5,8.0,8.5,8.0,"Graceful degradation"
Cross-Module Coupling,1-10,Integration,0.07,3,5,2,8.5,8.0,8.5,8.0,"Decoupling score; higher is better"
Training Data Required,hours,Operations,0.06,0,50,200,8.0,7.5,6.5,7.0,"For supervised learning; lower is better"
Calibration Time,minutes,Operations,0.07,5,15,2,8.0,7.5,8.0,8.5,"Field calibration effort"
Weather Robustness (Sleet),1-10,Operations,0.08,6,8,7,7.5,8.0,7.5,8.0,"Performance in mixed precipitation"
Weather Robustness (Fog),1-10,Operations,0.08,4,5,3,6.0,6.5,5.5,6.5,"Thermal camera affected most"
Maintenance Frequency,months,Operations,0.06,12,8,24,8.5,8.0,8.5,8.0,"Longer is better"
Debugging Difficulty,1-10,Operations,0.07,5,7,8,8.0,7.5,6.5,7.0,"To diagnose root cause of failure"
Cost of Hardware,$,Operations,0.06,0,300,1200,8.5,8.0,7.5,8.0,"One-time compute cost"
CE/IEC Certification Readiness,1-10,Operations,0.07,7,5,8,7.5,8.0,8.5,8.0,"For flying over buildings"
Snow Type Sensitivity (Powder),1-10,Domain,0.08,8,9,10,8.5,9.0,9.0,9.5,"Fresh powder optimal case"
Snow Type Sensitivity (Settled),1-10,Domain,0.08,6,7,8,7.0,7.5,8.0,8.0,"Compacted snow harder"
Snow Type Sensitivity (Wet),1-10,Domain,0.08,5,8,7,6.5,8.0,7.5,8.0,"Spring conditions"
Snow Type Sensitivity (Ice),1-10,Domain,0.08,4,5,6,5.0,5.5,6.0,6.5,"Toughest case"
Altitude/Gravity Effects,1-10,Domain,0.06,8,8,7,8.0,8.0,8.5,8.0,"Sensor calibration drift"
Tether EMI Robustness,1-10,Domain,0.08,7,6,8,8.0,7.5,8.5,8.0,"400V DC noise coupling"
Roof Surface Robustness,1-10,Domain,0.07,7,6,8,7.0,7.5,8.0,8.0,"Metal/concrete/shingle variance"
Wind Loading Interaction,1-10,Domain,0.07,6,7,5,7.0,6.5,6.0,6.5,"Cross-wind stabilization"
Thermal Camera FOV Limits,1-10,Domain,0.07,5,5,7,6.0,6.5,6.0,7.0,"160×120px resolution constraint"
Hailo-8L Latency Constraint,1-10,Domain,0.08,8,7,6,8.0,7.5,7.0,7.0,"13 TOPS max throughput"
Drift Over 8-Hour Flight,1-10,Domain,0.08,8,6,7,8.5,7.5,7.0,7.5,"Calibration stability"
Adaptation to New Roof Type,%,Domain,0.06,80,60,85,8.0,7.5,8.0,7.5,"Transfer learning capability"
LiDAR Point Cloud Handling,1-10,Domain,0.07,8,9,9,8.5,9.0,9.0,8.5,"Dense vs sparse clouds"
Synthetic Data Generation,1-10,Domain,0.06,6,8,4,6.0,8.0,4.0,5.5,"For simulation + testing"
Edge Case Coverage,1-10,Domain,0.07,7,6,8,7.5,6.5,8.0,8.0,"Rare snow conditions"
Parameter Sensitivity,1-10,Domain,0.06,5,7,6,5.5,7.0,6.5,6.0,"Tuning robustness"
Explainability,1-10,Domain,0.05,9,3,2,9.0,3.0,2.0,2.5,"Operator understanding"
Performance Under Tether Vibration,1-10,Domain,0.07,7,6,8,7.0,6.5,8.0,8.5,"50Hz main rotor harmonics"
Safety Margin vs Limits,1-10,Domain,0.08,8,7,9,8.5,7.5,9.0,9.0,"Headroom before failure"
